министерство	магии 1
магии	терпит 1
терпит	поражение 1
поражение	за 1
за	поражением 1
поражением	в 1
в	битвах 1
битвах	с 1
с	воландемортом 1
воландемортом	даже 1
даже	маглы 1
маглы	страдают 1
страдают	от 1
от	второй 1
второй	войны 1
войны	каждый 1
каждый	день 1
день	происходят 1
происходят	катастрофы 1
катастрофы	причины 1
причины	которых 1
которых	никому 1
никому	не 1
не	ведомы 1
ведомы	орден 1
орден	феникса 1
феникса	теряет 1
теряет	в 1
в	сражениях 1
сражениях	с 1
с	пожирателями 1
пожирателями	смерти 1
смерти	своих 1
своих	лучших 1
лучших	волшебников 1
волшебников	но 1
но	и 1
и	на 1
на	войне 1
войне	жизнь 1
жизнь	продолжается 1
продолжается	гарри 1
гарри	рон 1
рон	и 1
и	гермиона 1
гермиона	как 1
как	и 1
и	все 1
все	шестнадцатилетние 1
шестнадцатилетние	учатся 1
учатся	ходят 1
ходят	на 1
на	вечеринки 1
вечеринки	и 1
и	влюбляются 1
влюбляются	однако 1
однако	опасность 1
опасность	все 1
все	ближе 1
ближе	и 1
и	ближе 1
ближе	несмотря 1
несмотря	на 1
на	все 1
все	усилия 1
усилия	дамблдора 1
дамблдора	по 1
по	защите 1
защите	школы 1
школы	в 1
в	хогвартсе 1
хогвартсе	происходят 1
происходят	очень 1
очень	странные 1
странные	события 1
события	омут 1
омут	памяти 1
памяти	на 1
на	этот 1
этот	раз 1
раз	откроет 1
откроет	гарри 1
гарри	самую 1
самую	большую 1
большую	тайну 1
тайну	темного 1
темного	лорда 1
лорда	и 1
и	ради 1
ради	того 1
того	чтобы 1
чтобы	победить 1
победить	гарри 1
гарри	вынужден 1
вынужден	пожертвовать 1
пожертвовать	самым 1
самым	дорогим 1
дорогим	какую 1
какую	же 1
же	сторону 1
сторону	в 1
в	этой 1
этой	войне 1
войне	примет 1
примет	загадочный 1
загадочный	принцполукровка 1
принцполукровка	глава 1
глава	другой 1
другой	министр 1
министр	приближалась 1
приближалась	полночь 1
полночь	премьерминистр 1
премьерминистр	сидел 1
сидел	у 1
у	себя 1
себя	в 1
в	кабинете 1
кабинете	в 1
в	полном 1
полном	одиночестве 1
одиночестве	и 1
и	читал 1
читал	длинный 1
длинный	меморандум 1
меморандум	строчки 1
строчки	мелькали 1
мелькали	перед 1
перед	глазами 1
глазами	не 1
не	задевая 1
задевая	сознания 1
сознания	премьерминистр 1
премьерминистр	ожидал 1
ожидал	звонка 1
звонка	от 1
от	президента 1
президента	одной 1
одной	далекой 1
далекой	страны 1
страны	он 1
он	раздумывал 1
раздумывал	когда 1
когда	же 1
же	наконец 1
наконец	позвонит 1
позвонит	этот 1
этот	злосчастный 1
злосчастный	тип 1
тип	и 1
и	одновременно 1
одновременно	пытался 1
пытался	отделаться 1
отделаться	от 1
от	неприятных 1
неприятных	воспоминаний 1
воспоминаний	о 1
о	необычайно 1
необычайно	долгой 1
долгой	и 1
